item_code,item_name
SEAC03,Women's suits and separates
SEAC04,"Women's underwear, nightwear, swimwear and accessories"
SEAD,Girls' apparel
SEAE,Footwear
SEAE01,Men's footwear
SEAE02,Boys' and girls' footwear
SEAE03,Women's footwear
SEAF,Infants' and toddlers' apparel
SEAG,Jewelry and watches
SEAG01,Watches
SEAG02,Jewelry
SEEA,Educational books and supplies
SEEB,"Tuition, other school fees, and childcare"
SEEB01,College tuition and fees
SEEB02,Elementary and high school tuition and fees
SEEB03,Day care and preschool
SEEB04,Technical and business school tuition and fees
SEEC,Postage and delivery services
SEEC01,Postage
SEEC02,Delivery services
SEED,Telephone services
SEED03,Wireless telephone services
SEED04,Residential telephone services
SEEE,"Information technology, hardware and services"
SEEE01,"Computers, peripherals, and smart home assistants"
SEEE02,Computer software and accessories
SEEE03,Internet services and electronic information providers
SEEE04,"Telephone hardware, calculators, and other consumer information items"
SEEEC,Information technology commodities
SEFA,Cereals and cereal products
SEFA01,Flour and prepared flour mixes
SEFA02,Breakfast cereal
SEFA03,"Rice, pasta, cornmeal"
SEFB,Bakery products
SEFB01,Bread
SEFB02,"Fresh biscuits, rolls, muffins"
SEFB03,"Cakes, cupcakes, and cookies"
SEFB04,Other bakery products
SEFC,Beef and veal
SEFC01,Uncooked ground beef
SEFC02,Uncooked beef roasts
SEFC03,Uncooked beef steaks
SEFC04,Uncooked other beef and veal
SEFD,Pork
SEFD01,"Bacon, breakfast sausage, and related products"
SEFD02,Ham
SEFD03,Pork chops
SEFD04,"Other pork including roasts, steaks, and ribs"
SEFE,Other meats
SEFF,Poultry
SEFF01,Chicken
SEFF02,Other uncooked poultry including turkey
SEFG,Fish and seafood
SEFG01,Fresh fish and seafood
SEFG02,Processed fish and seafood
SEFH,Eggs
SEFJ,Dairy and related products
SEFJ01,Milk
SEFJ02,Cheese and related products
SEFJ03,Ice cream and related products
SEFJ04,Other dairy and related products
SEFK,Fresh fruits
SEFK01,Apples
SEFK02,Bananas
SEFK03,Citrus fruits
SEFK04,Other fresh fruits
SEFL,Fresh vegetables
SEFL01,Potatoes
SEFL02,Lettuce
SEFL03,Tomatoes
SEFL04,Other fresh vegetables
SEFM,Processed fruits and vegetables
SEFM01,Canned fruits and vegetables
SEFM02,Frozen fruits and vegetables
SEFM03,Other processed fruits and vegetables including dried
SEFN,Juices and nonalcoholic drinks
SEFN01,Carbonated drinks
SEFN02,Frozen noncarbonated juices and drinks
SEFN03,Nonfrozen noncarbonated juices and drinks
SEFP,Beverage materials including coffee and tea
SEFP01,Coffee
SEFP02,Other beverage materials including tea
SEFR,Sugar and sweets
SEFR01,Sugar and sugar substitutes
SEFR02,Candy and chewing gum
SEFR03,Other sweets
SEFS,Fats and oils
SEFS01,Butter and margarine
SEFS02,Salad dressing
SEFS03,Other fats and oils including peanut butter
SEFT,Other foods
SEFT01,Soups
SEFT02,Frozen and freeze dried prepared foods
SEFT03,Snacks
SEFT04,"Spices, seasonings, condiments, sauces"
SEFT05,Baby food and formula
SEFT06,Other miscellaneous foods
SEFV,Food away from home
SEFV01,Full service meals and snacks
SEFV02,Limited service meals and snacks
SEFV03,Food at employee sites and schools
SEFV04,Food from vending machines and mobile vendors
SEFV05,Other food away from home
SEFW,Alcoholic beverages at home
SEFW01,"Beer, ale, and other malt beverages at home"
SEFW02,Distilled spirits at home
SEFW03,Wine at home
SEFX,Alcoholic beverages away from home
SEGA,Tobacco and smoking products
SEGA01,Cigarettes
SEGA02,Tobacco products other than cigarettes
SEGB,Personal care products
SEGB01,"Hair, dental, shaving, and miscellaneous personal care products"
SEGB02,"Cosmetics, perfume, bath, nail preparations and implements"
SEGC,Personal care services
SEGC01,Haircuts and other personal care services
SEGD,Miscellaneous personal services
SEGD01,Legal services
SEGD02,Funeral expenses
SEGD03,Laundry and dry cleaning services
SEGD04,Apparel services other than laundry and dry cleaning
SEGD05,Financial services
SEGE,Miscellaneous personal goods
SEHA,Rent of primary residence
SEHB,Lodging away from home
SEHB01,"Housing at school, excluding board"
SEHB02,Other lodging away from home including hotels and motels
SEHC,Owners' equivalent rent of residences
SEHC01,Owners' equivalent rent of primary residence
SEHD,Tenants' and household insurance
SEHE,Fuel oil and other fuels
SEHE01,Fuel oil
SEHE02,"Propane, kerosene, and firewood"
SEHF,Energy services
SEHF01,Electricity
SEHF02,Utility (piped) gas service
SEHG,Water and sewer and trash collection services
SEHG01,Water and sewerage maintenance
SEHG02,Garbage and trash collection
SEHH,Window and floor coverings and other linens
SEHH01,Floor coverings
SEHH02,Window coverings
SEHH03,Other linens
SEHJ,Furniture and bedding
SEHJ01,Bedroom furniture
SEHJ02,"Living room, kitchen, and dining room furniture"
SEHJ03,Other furniture
SEHK,Appliances
SEHK01,Major appliances
SEHK02,Other appliances
SEHL,Other household equipment and furnishings
SEHL01,"Clocks, lamps, and decorator items"
SEHL02,Indoor plants and flowers
SEHL03,Dishes and flatware
SEHL04,Nonelectric cookware and tableware
SEHM,"Tools, hardware, outdoor equipment and supplies"
SEHM01,"Tools, hardware and supplies"
SEHM02,Outdoor equipment and supplies
SEHN,Housekeeping supplies
SEHN01,Household cleaning products
SEHN02,Household paper products
SEHN03,Miscellaneous household products
SEHP,Household operations
SEHP01,Domestic services
SEHP02,Gardening and lawncare services
SEHP03,"Moving, storage, freight expense"
SEHP04,Repair of household items
SEMC,Professional services
SEMC01,Physicians' services
SEMC02,Dental services
SEMC03,Eyeglasses and eye care
SEMC04,Services by other medical professionals
SEMD,Hospital and related services
SEMD01,Hospital services
SEMD02,Nursing homes and adult day services
SEMD03,Care of invalids and elderly at home
SEME,Health insurance
SEMF,Medicinal drugs
SEMF01,Prescription drugs
SEMF02,Nonprescription drugs
SEMG,Medical equipment and supplies
SERA,Video and audio
SERA01,Televisions
SERA02,"Cable, satellite, and live streaming television service"
SERA03,Other video equipment
SERA04,"Purchase, subscription, and rental of video"
SERA05,Audio equipment
SERA06,Recorded music and music subscriptions
SERAC,Video and audio products
SERAS,Video and audio services
SERB,"Pets, pet products and services"
SERB01,Pets and pet products
SERB02,Pet services including veterinary
SERC,Sporting goods
SERC01,Sports vehicles including bicycles
SERC02,Sports equipment
SERD,Photography
SERD01,Photographic equipment and supplies
SERD02,Photographers and photo processing
SERE,Other recreational goods
SERE01,Toys
SERE02,"Sewing machines, fabric and supplies"
SERE03,Music instruments and accessories
SERF,Other recreation services
SERF01,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees"
SERF02,Admissions
SERF03,Fees for lessons or instructions
SERG,Recreational reading materials
SERG01,Newspapers and magazines
SERG02,Recreational books
SETA,New and used motor vehicles
SETA01,New vehicles
SETA02,Used cars and trucks
SETA03,Leased cars and trucks
SETA04,Car and truck rental
SETB,Motor fuel
SETB01,Gasoline (all types)
SETB02,Other motor fuels
SETC,Motor vehicle parts and equipment
SETC01,Tires
SETC02,Vehicle accessories other than tires
SETD,Motor vehicle maintenance and repair
SETD01,Motor vehicle body work
SETD02,Motor vehicle maintenance and servicing
SETD03,Motor vehicle repair
SETE,Motor vehicle insurance
SETF,Motor vehicle fees
SETF01,State motor vehicle registration and license fees
SETF03,Parking and other fees
SETG,Public transportation
SETG01,Airline fares
SETG02,Other intercity transportation
SETG03,Intracity transportation
SS01031,Rice
SS02011,White bread
SS02021,Bread other than white
SS02041,Fresh cakes and cupcakes
SS02042,Cookies
SS02063,"Fresh sweetrolls, coffeecakes, doughnuts"
SS0206A,"Crackers, bread, and cracker products"
SS0206B,"Frozen and refrigerated bakery products, pies, tarts, turnovers"
SS04011,Bacon and related products
SS04012,Breakfast sausage and related products
SS04031,"Ham, excluding canned"
SS05011,Frankfurters
SS05014,Lamb and organ meats
SS05015,Lamb and mutton
SS0501A,Lunchmeats
SS06011,Fresh whole chicken
SS06021,Fresh and frozen chicken parts
SS07011,Shelf stable fish and seafood
SS07021,Frozen fish and seafood
SS09011,Fresh whole milk
SS09021,Fresh milk other than whole
SS10011,Butter
SS11031,"Oranges, including tangerines"
SS13031,Canned fruits
SS14011,Frozen vegetables
SS14021,Canned vegetables
SS14022,"Dried beans, peas, and lentils"
SS16011,Margarine
SS16014,Peanut butter
SS17031,Roasted coffee
SS17032,Instant coffee
SS18041,Salt and other seasonings and spices
SS18042,"Olives, pickles, relishes"
SS18043,Sauces and gravies
SS1804B,Other condiments
SS18064,Prepared salads
SS20021,Whiskey at home
SS20022,"Distilled spirits, excluding whiskey, at home"
SS20051,"Beer, ale, and other malt beverages away from home"
SS20052,Wine away from home
SS20053,Distilled spirits away from home
SS27051,Land-line interstate toll calls
SS27061,Land-line intrastate toll calls
SS30021,Laundry equipment
SS31022,Video discs and other media
SS31023,"Video game hardware, software and accessories"
SS33032,"Stationery, stationery supplies, gift wrap"
SS45011,New cars
SS4501A,New cars and trucks
SS45021,New trucks
SS45031,New motorcycles
SS47014,"Gasoline, unleaded regular"
SS47015,"Gasoline, unleaded midgrade"
SS47016,"Gasoline, unleaded premium"
SS47021,"Motor oil, coolant, and fluids"
SS48021,Vehicle parts and equipment other than tires
SS52051,Parking fees and tolls
SS53021,Intercity bus fare
SS53022,Intercity train fare
SS53023,Ship fare
SS53031,Intracity mass transit
SS5702,Inpatient hospital services
SS5703,Outpatient hospital services
SS61011,"Toys, games, hobbies and playground equipment"
SS61021,Film and photographic supplies
SS61023,Photographic equipment
SS61031,Pet food and treats
SS61032,"Purchase of pets, pet supplies, accessories"
SS62011,Automobile service clubs
SS62031,"Admission to movies, theaters, and concerts"
SS62032,Admission to sporting events
SS62051,Photographer fees
SS62052,Photo Processing
SS62053,Pet services
SS62054,Veterinarian services
SS62055,Subscription and rental of video and video games
SS68021,Checking account and other bank services
SS68023,Tax return preparation and other accounting fees
SSEA011,College textbooks
SSEE041,Smartphones
SSFV031A,Food at elementary and secondary schools
SSGE013,Infants' equipment
SSHJ031,Infants' furniture
